year,month,value
2013,December,234.719
2013,November,234.100
2013,October,233.669
2013,September,233.544
2013,August,233.456
2013,July,232.900
2013,June,232.445
2013,May,231.893
2013,April,231.797
2013,March,232.282
2013,February,232.937
2013,January,231.679
2012,December,231.221
2012,November,231.249
2012,October,231.638
2012,September,231.015
2012,August,229.918
2012,July,228.590
2012,June,228.524
2012,May,228.713
2012,April,229.187
2012,March,228.807
2012,February,228.329
2012,January,227.842
2011,December,227.223
2011,November,227.169
2011,October,226.750
2011,September,226.597
2011,August,226.106
2011,July,225.395
2011,June,224.806
2011,May,224.806
2011,April,224.093
2011,March,223.046
2011,February,221.898
2011,January,221.187
2010,December,220.472
2010,November,219.590
2010,October,219.035
2010,September,218.275
2010,August,217.923
2010,July,217.605
2010,June,217.199
2010,May,217.290
2010,April,217.403
2010,March,217.353
2010,February,217.281
2010,January,217.488
2009,December,217.347
2009,November,217.234
2009,October,216.509
2009,September,215.861
2009,August,215.445
2009,July,214.726
2009,June,214.790
2009,May,213.022
2009,April,212.709
2009,March,212.495
2009,February,212.705
2009,January,211.933
